timestamp,handshake_num,status,handshake_cycles
1777400058,1,success,7797932
1777400059,2,success,9873374
1777400060,3,success,9525204
1777400061,4,success,8828914
1777400062,5,success,9484456
1777400063,6,success,9585638
1777400064,7,success,8747582
1777400065,8,success,8712732
1777400066,9,success,9675830
1777400067,10,success,9755140
1777400068,11,success,5874286
1777400069,12,success,9324884
1777400070,13,success,9835246
1777400071,14,success,9227190
1777400072,15,success,9895056
1777400073,16,success,9485252
1777400074,17,success,116866246
1777400075,18,success,226809118
1777400076,19,success,144057464
1777400077,20,success,237290884
1777400078,21,success,257981196
1777400079,22,success,187023298
1777400080,23,success,137816820
1777400081,24,success,150380364
1777400082,25,success,138480972
1777400083,26,success,178239064
1777400084,27,success,188452960
1777400086,28,success,167588800
1777400088,29,success,241664434
1777400089,30,success,141189254
1777400090,31,success,9276104
1777400091,32,success,10169192
1777400092,33,success,8721344
1777400093,34,success,9603912
1777400094,35,success,9389368
1777400095,36,success,8922630
1777400096,37,success,9661970
1777400097,38,success,7656800
1777400098,39,success,9307416
1777400099,40,success,9474560
1777400100,41,success,9648210
1777400101,42,success,9595560
1777400102,43,success,9405802
1777400103,44,success,9351498
