timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1777400044,0,0,0,0,0
1777400045,0,0,0,0,0
1777400046,0,0,0,0,0
1777400047,0,0,0,0,0
1777400048,0,0,0,0,0
1777400049,0,0,0,0,0
1777400050,0,0,0,0,0
1777400051,0,0,0,0,0
1777400052,0,0,0,0,0
1777400053,0,0,0,0,0
1777400054,0,0,0,0,0
1777400055,0,0,0,0,0
1777400056,0,0,0,0,0
1777400057,0,0,0,0,0
1777400058,1,0,1,0,7952616
1777400059,2,0,2,0,9140467
1777400060,3,0,3,0,9444518
1777400061,4,0,4,0,9441425
1777400062,5,0,5,0,9563952
1777400063,6,0,6,0,9630355
1777400064,7,0,7,0,9583607
1777400065,8,0,8,0,9530645
1777400066,9,0,9,0,9569346
1777400067,10,0,10,0,9665775
1777400068,11,0,11,0,9350641
1777400069,12,0,12,0,9327695
1777400070,13,0,13,0,9429384
1777400071,14,0,14,0,9500704
1777400072,15,0,15,0,9576224
1777400073,16,0,16,0,9557387
1777400074,7354,197,7157,0,45948672
1777400075,20518,125,20393,0,69818043
1777400076,34677,318,34360,0,63133545
1777400077,50048,285,49764,0,62076796
1777400078,61743,390,61354,0,63365964
1777400079,76828,102,76726,0,65451510
1777400080,92163,183,91980,0,60801679
1777400081,107711,245,107466,0,60087364
1777400082,123048,226,122822,0,59116623
1777400083,138554,300,138254,0,57619367
1777400084,153759,108,153651,0,56685263
1777400085,164426,99,164327,0,57799123
1777400086,179817,160,179657,0,56987004
1777400087,195261,412,194849,0,55779266
1777400088,210406,277,210129,0,56303605
1777400089,216602,0,215391,1211,56106067
1777400090,216603,0,215392,1211,56105855
1777400091,216604,0,215393,1211,56105632
1777400092,216605,0,215394,1211,56105414
1777400093,216606,0,215395,1211,56105199
1777400094,216607,0,215396,1211,56104984
1777400095,216608,0,215397,1211,56104766
1777400096,216609,0,215398,1211,56104552
1777400097,216610,0,215399,1211,56104328
1777400098,216611,0,215400,1211,56104111
1777400099,216612,0,215401,1211,56103898
1777400100,216613,0,215402,1211,56103686
1777400101,216614,0,215403,1211,56103471
1777400102,216615,0,215404,1211,56103255
1777400103,216616,0,215405,1211,56103043
1777400104,216616,0,215405,1211,56103043
1777400105,216616,0,215405,1211,56103043
1777400106,216616,0,215405,1211,56103043
1777400107,216616,0,215405,1211,56103043
1777400108,216616,0,215405,1211,56103043
1777400109,216616,0,215405,1211,56103043
1777400110,216616,0,215405,1211,56103043
1777400111,216616,0,215405,1211,56103043
1777400112,216616,0,215405,1211,56103043
1777400113,216616,0,215405,1211,56103043
1777400114,216616,0,215405,1211,56103043
1777400115,216616,0,215405,1211,56103043
1777400116,216616,0,215405,1211,56103043
1777400117,216616,0,215405,1211,56103043
1777400118,216616,0,215405,1211,56103043
1777400119,216616,0,215405,1211,56103043
1777400120,216616,0,215405,1211,56103043
1777400121,216616,0,215405,1211,56103043
1777400122,216616,0,215405,1211,56103043
1777400123,216616,0,215405,1211,56103043
1777400124,216616,0,215405,1211,56103043
1777400125,216616,0,215405,1211,56103043
1777400126,216616,0,215405,1211,56103043
1777400127,216616,0,215405,1211,56103043
1777400128,216616,0,215405,1211,56103043
1777400129,216616,0,215405,1211,56103043
1777400130,216616,0,215405,1211,56103043
1777400131,216616,0,215405,1211,56103043
1777400132,216616,0,215405,1211,56103043
1777400133,216616,0,215405,1211,56103043
1777400134,216616,0,215405,1211,56103043
1777400135,216616,0,215405,1211,56103043
1777400136,216616,0,215405,1211,56103043
1777400137,216616,0,215405,1211,56103043
1777400138,216616,0,215405,1211,56103043
1777400139,216616,0,215405,1211,56103043
1777400140,216616,0,215405,1211,56103043
1777400141,216616,0,215405,1211,56103043
1777400142,216616,0,215405,1211,56103043
1777400143,216616,0,215405,1211,56103043
1777400144,216616,0,215405,1211,56103043
1777400145,216616,0,215405,1211,56103043
1777400146,216616,0,215405,1211,56103043
1777400147,216616,0,215405,1211,56103043
1777400148,216616,0,215405,1211,56103043
1777400149,216616,0,215405,1211,56103043
1777400150,216616,0,215405,1211,56103043
1777400151,216616,0,215405,1211,56103043
1777400152,216616,0,215405,1211,56103043
1777400153,216616,0,215405,1211,56103043
1777400154,216616,0,215405,1211,56103043
1777400155,216616,0,215405,1211,56103043
1777400156,216616,0,215405,1211,56103043
1777400157,216616,0,215405,1211,56103043
1777400158,216616,0,215405,1211,56103043
1777400159,216616,0,215405,1211,56103043
1777400160,216616,0,215405,1211,56103043
1777400161,216616,0,215405,1211,56103043
1777400162,216616,0,215405,1211,56103043
1777400163,216616,0,215405,1211,56103043
1777400164,216616,0,215405,1211,56103043
1777400165,216616,0,215405,1211,56103043
1777400166,216616,0,215405,1211,56103043
1777400167,216616,0,215405,1211,56103043
1777400168,216616,0,215405,1211,56103043
1777400169,216616,0,215405,1211,56103043
1777400170,216616,0,215405,1211,56103043
1777400171,216616,0,215405,1211,56103043
1777400172,216616,0,215405,1211,56103043
1777400173,216616,0,215405,1211,56103043
1777400174,216616,0,215405,1211,56103043
1777400175,216616,0,215405,1211,56103043
1777400176,216616,0,215405,1211,56103043
1777400177,216616,0,215405,1211,56103043
1777400178,216616,0,215405,1211,56103043
1777400179,216616,0,215405,1211,56103043
1777400180,216616,0,215405,1211,56103043
1777400181,216616,0,215405,1211,56103043
1777400182,216616,0,215405,1211,56103043
1777400183,216616,0,215405,1211,56103043
1777400184,216616,0,215405,1211,56103043
1777400185,216616,0,215405,1211,56103043
1777400186,216616,0,215405,1211,56103043
1777400187,216616,0,215405,1211,56103043
1777400188,216616,0,215405,1211,56103043
1777400189,216616,0,215405,1211,56103043
1777400190,216616,0,215405,1211,56103043
1777400191,216616,0,215405,1211,56103043
1777400192,216616,0,215405,1211,56103043
1777400193,216616,0,215405,1211,56103043
1777400194,216616,0,215405,1211,56103043
1777400195,216616,0,215405,1211,56103043
1777400196,216616,0,215405,1211,56103043
1777400197,216616,0,215405,1211,56103043
1777400198,216616,0,215405,1211,56103043
1777400199,216616,0,215405,1211,56103043
1777400200,216616,0,215405,1211,56103043
1777400201,216616,0,215405,1211,56103043
1777400202,216616,0,215405,1211,56103043
1777400203,216616,0,215405,1211,56103043
1777400204,216616,0,215405,1211,56103043
1777400205,216616,0,215405,1211,56103043
1777400206,216616,0,215405,1211,56103043
1777400207,216616,0,215405,1211,56103043
1777400208,216616,0,215405,1211,56103043
1777400209,216616,0,215405,1211,56103043
1777400210,216616,0,215405,1211,56103043
1777400211,216616,0,215405,1211,56103043
1777400212,216616,0,215405,1211,56103043
1777400213,216616,0,215405,1211,56103043
1777400214,216616,0,215405,1211,56103043
1777400215,216616,0,215405,1211,56103043
1777400216,216616,0,215405,1211,56103043
1777400217,216616,0,215405,1211,56103043
1777400218,216616,0,215405,1211,56103043
1777400219,216616,0,215405,1211,56103043
1777400220,216616,0,215405,1211,56103043
1777400221,216616,0,215405,1211,56103043
1777400222,216616,0,215405,1211,56103043
1777400223,216616,0,215405,1211,56103043
1777400224,216616,0,215405,1211,56103043
1777400225,216616,0,215405,1211,56103043
1777400226,216616,0,215405,1211,56103043
1777400227,216616,0,215405,1211,56103043
1777400228,216616,0,215405,1211,56103043
1777400229,216616,0,215405,1211,56103043
1777400230,216616,0,215405,1211,56103043
1777400231,216616,0,215405,1211,56103043
1777400232,216616,0,215405,1211,56103043
1777400233,216616,0,215405,1211,56103043
1777400234,216616,0,215405,1211,56103043
1777400235,216616,0,215405,1211,56103043
1777400236,216616,0,215405,1211,56103043
1777400237,216616,0,215405,1211,56103043
1777400238,216616,0,215405,1211,56103043
1777400239,216616,0,215405,1211,56103043
1777400240,216616,0,215405,1211,56103043
1777400241,216616,0,215405,1211,56103043
1777400242,216616,0,215405,1211,56103043
1777400243,216616,0,215405,1211,56103043
1777400244,216616,0,215405,1211,56103043
1777400245,216616,0,215405,1211,56103043
1777400246,216616,0,215405,1211,56103043
1777400247,216616,0,215405,1211,56103043
1777400248,216616,0,215405,1211,56103043
1777400249,216616,0,215405,1211,56103043
1777400250,216616,0,215405,1211,56103043
1777400251,216616,0,215405,1211,56103043
1777400252,216616,0,215405,1211,56103043
1777400253,216616,0,215405,1211,56103043
1777400254,216616,0,215405,1211,56103043
1777400255,216616,0,215405,1211,56103043
1777400256,216616,0,215405,1211,56103043
1777400257,216616,0,215405,1211,56103043
1777400258,216616,0,215405,1211,56103043
1777400259,216616,0,215405,1211,56103043
1777400260,216616,0,215405,1211,56103043
1777400261,216616,0,215405,1211,56103043
1777400262,216616,0,215405,1211,56103043
1777400263,216616,0,215405,1211,56103043
1777400264,216616,0,215405,1211,56103043
1777400265,216616,0,215405,1211,56103043
1777400266,216616,0,215405,1211,56103043
1777400267,216616,0,215405,1211,56103043
1777400268,216616,0,215405,1211,56103043
1777400269,216616,0,215405,1211,56103043
1777400270,216616,0,215405,1211,56103043
1777400271,216616,0,215405,1211,56103043
1777400272,216616,0,215405,1211,56103043
1777400273,216616,0,215405,1211,56103043
1777400274,216616,0,215405,1211,56103043
1777400275,216616,0,215405,1211,56103043
1777400276,216616,0,215405,1211,56103043
1777400277,216616,0,215405,1211,56103043
1777400278,216616,0,215405,1211,56103043
1777400279,216616,0,215405,1211,56103043
1777400280,216616,0,215405,1211,56103043
1777400281,216616,0,215405,1211,56103043
