timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1777403581,0,0,0,0,0
1777403582,0,0,0,0,0
1777403583,0,0,0,0,0
1777403584,0,0,0,0,0
1777403585,0,0,0,0,0
1777403586,0,0,0,0,0
1777403587,1,0,1,0,48207022
1777403588,2,0,2,0,61036432
1777403589,3,0,3,0,63979511
1777403590,4,0,4,0,65951057
1777403591,5,0,5,0,67288290
1777403592,6,0,6,0,67747222
1777403593,7,0,7,0,68666640
1777403594,8,0,8,0,71863459
1777403595,9,0,9,0,74463896
1777403596,10,1,9,0,74463896
1777403597,10,0,10,0,76322210
1777403598,11,0,11,0,75888617
1777403599,12,0,12,0,77313135
1777403600,13,0,13,0,78609992
1777403601,14,0,14,0,79580730
1777403602,15,0,15,0,80365159
1777403603,534,499,35,0,333310496
1777403604,968,450,468,50,2232360436
1777403605,1375,445,881,50,2447978491
1777403606,1749,450,1249,50,2713348412
1777403607,2112,450,1612,50,2924134394
1777403608,2487,450,1987,50,3027709126
1777403609,2863,449,2364,50,3137488416
1777403610,3256,450,2756,50,3207649182
1777403611,3695,451,3194,50,3194216947
1777403612,4028,450,3528,50,3236172583
1777403613,4449,450,3949,50,3263452188
1777403614,5095,451,4594,50,3174396940
1777403615,5695,450,5195,50,3041719589
1777403616,6055,449,5556,50,3036717712
1777403617,6638,451,6137,50,3032935188
1777403618,6989,300,6488,201,2988063857
1777403619,6989,0,6489,500,2988172388
1777403620,6990,0,6490,500,2987721349
1777403621,6991,0,6491,500,2987272259
1777403622,6992,0,6492,500,2986823391
1777403623,6993,0,6493,500,2986374578
1777403624,6994,0,6494,500,2985925851
1777403625,6995,0,6495,500,2985477475
1777403626,6996,0,6496,500,2985027316
1777403627,6997,0,6497,500,2984578921
1777403628,6998,0,6498,500,2984130822
1777403629,6999,0,6499,500,2983682902
1777403630,7000,0,6500,500,2983238190
1777403631,7001,0,6501,500,2982793622
1777403632,7002,0,6502,500,2982348907
1777403633,7003,0,6503,500,2981905114
1777403634,7003,0,6503,500,2981905114
1777403635,7003,0,6503,500,2981905114
1777403636,7003,0,6503,500,2981905114
1777403637,7003,0,6503,500,2981905114
1777403638,7003,0,6503,500,2981905114
1777403639,7003,0,6503,500,2981905114
1777403640,7003,0,6503,500,2981905114
1777403641,7003,0,6503,500,2981905114
1777403642,7003,0,6503,500,2981905114
1777403643,7003,0,6503,500,2981905114
1777403644,7003,0,6503,500,2981905114
1777403645,7003,0,6503,500,2981905114
1777403646,7003,0,6503,500,2981905114
1777403647,7003,0,6503,500,2981905114
1777403648,7003,0,6503,500,2981905114
1777403649,7003,0,6503,500,2981905114
1777403650,7003,0,6503,500,2981905114
1777403651,7003,0,6503,500,2981905114
1777403652,7003,0,6503,500,2981905114
1777403653,7003,0,6503,500,2981905114
1777403654,7003,0,6503,500,2981905114
1777403655,7003,0,6503,500,2981905114
1777403656,7003,0,6503,500,2981905114
1777403657,7003,0,6503,500,2981905114
1777403658,7003,0,6503,500,2981905114
1777403659,7003,0,6503,500,2981905114
1777403660,7003,0,6503,500,2981905114
1777403661,7003,0,6503,500,2981905114
1777403662,7003,0,6503,500,2981905114
1777403663,7003,0,6503,500,2981905114
