timestamp,handshake_num,status,handshake_cycles
1777402172,1,success,98572860
1777402173,2,success,122322682
1777402174,3,success,122280950
1777402175,4,success,124128754
1777402176,5,success,89958294
1777402177,6,success,119169704
1777402178,7,success,125332478
1777402179,8,success,122040390
1777402180,9,success,120754206
1777402181,10,success,123362534
1777402183,11,success,123286926
1777402184,12,success,90140868
1777402185,13,success,121875080
1777402186,14,success,75795918
1777402187,15,success,124614294
1777402188,16,success,124201732
1777402190,17,success,4839534064
1777402193,18,success,4336773198
1777402194,19,success,1472772828
1777402198,20,success,6944111890
1777402200,21,success,3345734484
1777402201,22,success,2125677164
1777402203,23,success,3113109088
1777402201,22,success,3125677164
1777402200,21,success,2345734484
1777402198,20,success,4944111890
1777402203,23,success,5113109088
1777402200,21,success,3645734484
1777402198,20,success,3944111890
1777402201,22,success,3525677164
1777402206,25,success,118774974
1777402207,26,success,118694570
1777402208,27,success,118042610
1777402209,28,success,116249170
1777402210,29,success,118321312
1777402211,30,success,119855244
1777402212,31,success,119256130
1777402213,32,success,120243502
1777402214,33,success,123715568
1777402215,34,success,119838302
1777402216,35,success,121422600
1777402217,36,success,120354084
1777402218,37,success,122533386
