timestamp,handshake_num,status,handshake_cycles
1777400989,1,success,9442142
1777400990,2,success,16125650
1777400991,3,success,16084598
1777400992,4,success,12977336
1777400993,5,success,15751402
1777400994,6,success,17657694
1777400995,7,success,13748966
1777400996,8,success,11112810
1777400997,9,success,10515546
1777400998,10,success,11431704
1777400999,11,success,10713592
1777401000,12,success,20982694
1777401001,13,success,11567534
1777401002,14,success,15036664
1777401003,15,success,11721968
1777401004,16,success,11719148
1777401005,17,success,335047914
1777401006,18,success,398764762
1777401007,19,success,406873052
1777401008,20,success,460671442
1777401011,21,success,441122276
1777401012,22,success,433345576
1777401013,23,success,438088166
1777401015,24,success,477431684
1777401016,25,success,462245618
1777401017,26,success,438946820
1777401019,27,success,545125602
1777401020,28,success,469353066
1777401020,28,success,437353066
1777401020,28,success,537353066
1777401021,29,success,12551518
1777401022,30,success,10587784
1777401023,31,success,13947328
1777401024,32,success,11150802
1777401025,33,success,11298260
1777401026,34,success,15470286
1777401027,35,success,9067236
1777401028,36,success,13922486
1777401029,37,success,8706274
1777401030,38,success,11849132
1777401031,39,success,11422438
1777401032,40,success,11122184
1777401033,41,success,11137316
1777401034,42,success,11997356
1777401035,43,success,29101718
