timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1777400614,1,0,1,0,10732322
1777400615,2,0,2,0,9869288
1777400616,3,0,3,0,10674528
1777400617,4,0,4,0,11783008
1777400618,5,0,5,0,11475864
1777400619,6,0,6,0,11589916
1777400620,7,0,7,0,11462685
1777400621,8,0,8,0,11226127
1777400622,9,0,9,0,11178360
1777400623,10,0,10,0,11424596
1777400624,11,0,11,0,11500500
1777400625,12,0,12,0,11377376
1777400626,13,0,13,0,11456431
1777400627,14,0,14,0,11688689
1777400628,15,0,15,0,11516412
1777400629,16,0,16,0,11576454
1777400630,4651,123,4528,0,21183538
1777400631,11880,26,11854,0,21074684
1777400632,19369,27,19342,0,20576180
1777400633,26957,16,26941,0,19545458
1777400634,34559,23,34536,0,18663776
1777400636,41244,22,41222,0,29712492
1777400637,48655,57,48598,0,27811613
1777400638,56084,36,56048,0,26779989
1777400639,63709,82,63627,0,25656657
1777400640,71202,57,71145,0,24985870
1777400641,78590,36,78554,0,24495290
1777400642,86055,45,86010,0,23882196
1777400643,93055,62,92993,0,26957474
1777400644,100343,40,100303,0,26532026
1777400645,107780,17,107763,0,27699255
1777400646,110413,0,109360,1053,30094980
1777400647,110414,0,109361,1053,30094774
1777400648,110415,0,109362,1053,30094594
1777400649,110416,0,109363,1053,30094410
1777400650,110417,0,109364,1053,30094279
1777400651,110418,0,109365,1053,30094106
1777400652,110419,0,109366,1053,30093933
1777400653,110420,0,109367,1053,30093797
1777400654,110421,0,109368,1053,30093622
1777400655,110422,0,109369,1053,30093468
1777400656,110423,0,109370,1053,30093338
1777400657,110424,0,109371,1053,30093210
1777400658,110425,0,109372,1053,30093039
1777400659,110426,0,109373,1053,30092866
1777400660,110427,0,109374,1053,30092695
1777400661,110427,0,109374,1053,30092695
1777400662,110427,0,109374,1053,30092695
1777400663,110427,0,109374,1053,30092695
1777400664,110427,0,109374,1053,30092695
1777400665,110427,0,109374,1053,30092695
1777400666,110427,0,109374,1053,30092695
1777400667,110427,0,109374,1053,30092695
1777400668,110427,0,109374,1053,30092695
1777400669,110427,0,109374,1053,30092695
1777400670,110427,0,109374,1053,30092695
1777400671,110427,0,109374,1053,30092695
1777400672,110427,0,109374,1053,30092695
1777400673,110427,0,109374,1053,30092695
1777400674,110427,0,109374,1053,30092695
1777400675,110427,0,109374,1053,30092695
1777400676,110427,0,109374,1053,30092695
1777400677,110427,0,109374,1053,30092695
1777400678,110427,0,109374,1053,30092695
1777400679,110427,0,109374,1053,30092695
1777400680,110427,0,109374,1053,30092695
1777400681,110427,0,109374,1053,30092695
1777400682,110427,0,109374,1053,30092695
1777400683,110427,0,109374,1053,30092695
1777400684,110427,0,109374,1053,30092695
1777400685,110427,0,109374,1053,30092695
1777400686,110427,0,109374,1053,30092695
1777400687,110427,0,109374,1053,30092695
1777400688,110427,0,109374,1053,30092695
1777400689,110427,0,109374,1053,30092695
1777400690,110427,0,109374,1053,30092695
1777400691,110427,0,109374,1053,30092695
1777400692,110427,0,109374,1053,30092695
1777400693,110427,0,109374,1053,30092695
1777400694,110427,0,109374,1053,30092695
1777400695,110427,0,109374,1053,30092695
1777400696,110427,0,109374,1053,30092695
1777400697,110427,0,109374,1053,30092695
1777400698,110427,0,109374,1053,30092695
1777400699,110427,0,109374,1053,30092695
1777400700,110427,0,109374,1053,30092695
1777400701,110427,0,109374,1053,30092695
1777400702,110427,0,109374,1053,30092695
1777400703,110427,0,109374,1053,30092695
1777400704,110427,0,109374,1053,30092695
1777400705,110427,0,109374,1053,30092695
1777400706,110427,0,109374,1053,30092695
1777400707,110427,0,109374,1053,30092695
1777400708,110427,0,109374,1053,30092695
1777400709,110427,0,109374,1053,30092695
1777400710,110427,0,109374,1053,30092695
1777400711,110427,0,109374,1053,30092695
1777400712,110427,0,109374,1053,30092695
1777400713,110427,0,109374,1053,30092695
1777400714,110427,0,109374,1053,30092695
1777400715,110427,0,109374,1053,30092695
1777400716,110427,0,109374,1053,30092695
1777400717,110427,0,109374,1053,30092695
1777400718,110427,0,109374,1053,30092695
1777400719,110427,0,109374,1053,30092695
1777400720,110427,0,109374,1053,30092695
1777400721,110427,0,109374,1053,30092695
