timestamp,handshake_num,status,handshake_cycles
1776274535,1,success,5538390
1776274536,2,success,8272374
1776274537,3,success,7696227
1776274538,4,success,8630853
1776274539,5,success,6044874
1776274540,6,success,7117572
1776274541,7,success,4293135
1776274542,8,success,8333061
1776274543,9,success,7217628
1776274544,10,success,5802984
1776274545,11,success,6532845
1776274546,12,success,7105296
1776274547,13,success,6495951
1776274548,14,success,4618416
1776274549,15,success,8923233
1776274550,16,success,5841000
1776274551,17,success,49471092
1776274552,18,success,71157339
1776274553,19,success,10263033
1776274554,20,success,58764585
1776274555,21,success,69786189
1776274556,22,success,46297317
1776274557,23,success,32160810
1776274558,24,success,82654176
1776274559,25,success,46039851
1776274560,26,success,39783117
1776274561,27,success,6376128
1776274562,28,success,15149805
1776274563,29,success,30356139
1776274564,30,success,41343918
1776274565,31,success,45240228
1776274566,32,success,3558258
1776274567,33,success,3794175
1776274568,34,success,5520801
1776274569,35,success,7340652
1776274570,36,success,8286564
1776274571,37,success,6979599
1776274572,38,success,8702958
1776274573,39,success,3819684
1776274574,40,success,6594984
1776274575,41,success,6311052
1776274576,42,success,7701738
1776274577,43,success,6209115
1776274578,44,success,6382299
1776274579,45,success,5664153
1776274580,46,success,4498065
