timestamp,handshake_num,status,handshake_cycles
1776274681,1,success,4537599
1776274682,2,success,5831364
1776274683,3,success,5039628
1776274684,4,success,4835061
1776274685,5,success,3442857
1776274686,6,success,5226672
1776274687,7,success,4757544
1776274688,8,success,6095364
1776274689,9,success,4489188
1776274690,10,success,5477670
1776274691,11,success,5182881
1776274693,12,success,3970362
1776274694,13,success,3539844
1776274695,14,success,7576305
1776274696,15,success,5484996
1776274697,16,success,6692400
1776274698,17,success,4671810
1776274699,18,success,5571951
1776274700,19,success,30634923
1776274701,20,success,6303099
1776274702,21,success,21913188
1776274703,22,success,8312832
1776274704,23,success,32445666
1776274705,24,success,24820653
1776274706,25,success,3476748
1776274707,26,success,20013543
1776274708,27,success,36011118
1776274709,28,success,22566060
1776274710,29,success,22204512
1776274711,30,success,69323595
1776274712,31,success,3828891
1776274713,32,success,3167571
1776274714,33,success,4801863
1776274715,34,success,6661974
1776274716,35,success,5006001
1776274717,36,success,6974880
1776274718,37,success,5125791
1776274719,38,success,3394380
1776274720,39,success,5394147
1776274721,40,success,5297622
1776274722,41,success,5219181
1776274723,42,success,4740714
1776274724,43,success,5753715
1776274725,44,success,5202384
1776274726,45,success,5916438
1776274727,46,success,7015437
