timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1776272013,0,0,0,0,0
1776272014,0,0,0,0,0
1776272015,1,0,1,0,9008769
1776272016,2,0,2,0,21661992
1776272017,3,0,3,0,16613476
1776272018,4,0,4,0,14245299
1776272019,5,0,5,0,12361740
1776272020,6,0,6,0,11552183
1776272021,7,0,7,0,10553121
1776272022,8,0,8,0,9642369
1776272023,9,0,9,0,9223228
1776272024,10,0,10,0,8923487
1776272025,11,0,11,0,8610564
1776272026,12,0,12,0,8264000
1776272027,13,0,13,0,8240148
1776272028,14,0,14,0,7907568
1776272029,15,0,15,0,7925308
1776272030,16,0,16,0,7649853
1776272031,4760,64,4697,0,26370338
1776272032,9643,50,9593,0,27478453
1776272033,14391,48,14343,0,28219244
1776272034,19215,61,19156,0,28631212
1776272035,24048,56,23993,0,28933567
1776272036,28871,55,28818,0,29153162
1776272037,33695,56,33639,0,29351978
1776272038,38500,39,38461,0,29596344
1776272039,43259,62,43197,0,29721658
1776272040,47664,52,47612,0,30048920
1776272041,52380,51,52329,0,30082578
1776272042,57127,58,57069,0,30009276
1776272043,61760,48,61713,0,30177348
1776272044,66576,56,66520,0,30068820
1776272045,71270,55,71216,0,30082210
1776272046,71523,0,71474,49,30095454
1776272047,71524,0,71475,49,30095121
1776272048,71525,0,71476,49,30094789
1776272049,71526,0,71477,49,30094475
1776272050,71527,0,71478,49,30094146
1776272051,71528,0,71479,49,30093822
1776272052,71529,0,71480,49,30093497
1776272053,71530,0,71481,49,30093151
1776272054,71531,0,71482,49,30092816
1776272055,71532,0,71483,49,30092445
1776272056,71533,0,71484,49,30092123
1776272057,71534,0,71485,49,30091798
1776272058,71535,0,71486,49,30091471
1776272059,71536,0,71487,49,30091118
1776272060,71537,0,71488,49,30090764
1776272061,71537,0,71488,49,30090764
