timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1776274680,0,0,0,0,0
1776274681,0,0,0,0,0
1776274682,1,0,1,0,4674153
1776274683,2,0,2,0,5187649
1776274684,3,0,3,0,5004307
1776274685,4,0,4,0,4934927
1776274686,5,0,5,0,4666094
1776274687,6,0,6,0,4729895
1776274688,7,0,7,0,4696541
1776274689,8,0,8,0,4854580
1776274690,9,0,9,0,4778671
1776274691,10,0,10,0,4836473
1776274692,11,0,11,0,4864782
1776274693,12,0,12,0,4754571
1776274694,13,0,13,0,4674109
1776274695,14,0,14,0,4777336
1776274696,15,0,15,0,4783473
1776274697,16,0,16,0,4890822
1776274698,5765,19,5747,0,25216584
1776274699,11288,50,11239,0,26408219
1776274700,17317,4,17313,0,25494800
1776274701,23658,56,23603,0,24994272
1776274702,29892,23,29869,0,24824259
1776274703,35966,46,35921,0,24777104
1776274704,42028,63,41965,0,24745198
1776274705,47956,49,47907,0,24873860
1776274706,54191,12,54180,0,24825663
1776274707,60588,58,60532,0,24739578
1776274708,66887,54,66833,0,24654738
1776274709,73242,33,73209,0,24558034
1776274710,79629,56,79573,0,24400824
1776274711,85922,32,85892,0,24383154
1776274712,92254,30,92225,0,24375739
1776274713,92535,0,92485,50,24394035
1776274714,92536,0,92486,50,24393818
1776274715,92537,0,92487,50,24393623
1776274716,92538,0,92488,50,24393412
1776274717,92539,0,92489,50,24393221
1776274718,92540,0,92490,50,24393011
1776274719,92541,0,92491,50,24392786
1776274720,92542,0,92492,50,24392583
1776274721,92543,0,92493,50,24392374
1776274722,92544,0,92494,50,24392165
1776274723,92545,0,92495,50,24391950
1776274724,92546,0,92496,50,24391745
1776274725,92547,0,92497,50,24391533
1776274726,92548,0,92498,50,24391328
1776274727,92549,0,92499,50,24391147
1776274728,92549,0,92499,50,24391147
