timestamp,handshake_num,status,handshake_cycles
1777452254,1,success,12447802
1777452255,2,success,11370380
1777452256,3,success,10643100
1777452257,4,success,11256224
1777452258,5,success,16655802
1777452259,6,success,10999436
1777452260,7,success,8770830
1777452261,8,success,20227468
1777452262,9,success,14516066
1777452263,10,success,11182944
1777452264,11,success,11330624
1777452265,12,success,21164570
1777452266,13,success,9528154
1777452267,14,success,12460070
1777452268,15,success,11112746
1777452269,16,success,11851304
1777452270,17,success,203426174
1777452271,18,success,11436782
1777452272,19,success,16090542
1777452273,20,success,11123954
1777452274,21,success,11748142
1777452275,22,success,24055888
1777452276,23,success,11415658
1777452277,24,success,10753344
1777452278,25,success,15440590
1777452279,26,success,15073976
1777452280,27,success,11054378
1777452281,28,success,14230002
1777452282,29,success,11104066
1777452283,30,success,14136500
1777452284,31,success,10563680
1777452285,32,success,10546688
1777452286,33,success,14905784
1777452287,34,success,11514610
1777452288,35,success,19895904
1777452289,36,success,10912824
1777452290,37,success,11272252
1777452291,38,success,9248772
1777452292,39,success,19934250
1777452293,40,success,9145078
1777452294,41,success,11123400
1777452295,42,success,15861788
1777452296,43,success,14827138
1777452297,44,success,10620280
1777452298,45,success,13680330
1777452299,46,success,14725948
