timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1777450839,0,0,0,0,0
1777450840,0,0,0,0,0
1777450841,0,0,0,0,0
1777450842,0,0,0,0,0
1777450843,0,0,0,0,0
1777450844,0,0,0,0,0
1777450845,0,0,0,0,0
1777450846,0,0,0,0,0
1777450847,0,0,0,0,0
1777450848,0,0,0,0,0
1777450849,0,0,0,0,0
1777450850,0,0,0,0,0
1777450851,0,0,0,0,0
1777450852,0,0,0,0,0
1777450853,0,0,0,0,0
1777450854,0,0,0,0,0
1777450855,0,0,0,0,0
1777450856,0,0,0,0,0
1777450857,0,0,0,0,0
1777450858,0,0,0,0,0
1777450859,0,0,0,0,0
1777450860,0,0,0,0,0
1777450861,0,0,0,0,0
1777450862,0,0,0,0,0
1777450863,0,0,0,0,0
1777450864,0,0,0,0,0
1777450865,0,0,0,0,0
1777450866,0,0,0,0,0
1777450867,0,0,0,0,0
1777450868,1,0,1,0,10957050
1777450869,2,0,2,0,12489269
1777450870,3,0,3,0,11667246
1777450871,4,0,4,0,11721120
1777450872,5,0,5,0,11756952
1777450873,6,0,6,0,11673167
1777450874,7,0,7,0,11292813
1777450875,8,0,8,0,11357735
1777450876,9,0,9,0,11669002
1777450877,10,0,10,0,11609892
1777450878,11,1,10,0,11609892
1777450879,11,0,11,0,11758403
1777450880,12,0,12,0,11593150
1777450881,13,0,13,0,11456529
1777450882,14,0,14,0,12448105
1777450883,15,0,15,0,12346810
1777450884,16,0,16,0,12168415
1777450885,2390,0,2390,0,26492558
1777450886,3850,0,3850,0,34158235
1777450887,4019,0,4019,0,34924847
1777450888,4020,0,4020,0,34918511
1777450889,4021,0,4021,0,34912394
1777450890,4022,0,4022,0,34906457
1777450891,4023,0,4023,0,34900084
1777450892,4024,0,4024,0,34893753
1777450893,4025,0,4025,0,34887274
1777450894,4026,0,4026,0,34883347
1777450895,4027,0,4027,0,34877171
1777450896,4028,0,4028,0,34870398
1777450897,4029,0,4029,0,34863977
1777450898,4030,0,4030,0,34858157
1777450899,4031,0,4031,0,34851806
1777450900,4032,0,4032,0,34845955
1777450901,4033,0,4033,0,34840092
1777450902,4034,0,4034,0,34834807
1777450903,4035,0,4035,0,34829292
1777450904,4036,0,4036,0,34823808
1777450905,4037,0,4037,0,34817640
1777450906,4038,0,4038,0,34811481
1777450907,4039,0,4039,0,34810120
1777450908,4040,0,4040,0,34803339
1777450909,4041,0,4041,0,34797371
1777450910,4042,0,4042,0,34791542
1777450911,4043,0,4043,0,34786875
1777450912,4044,0,4044,0,34780611
1777450913,4045,0,4045,0,34779147
1777450914,4046,0,4046,0,34773389
1777450915,4046,0,4046,0,34773389
1777450916,4046,0,4046,0,34773389
1777450917,4046,0,4046,0,34773389
1777450918,4046,0,4046,0,34773389
1777450919,4046,0,4046,0,34773389
1777450920,4046,0,4046,0,34773389
1777450921,4046,0,4046,0,34773389
1777450922,4046,0,4046,0,34773389
1777450923,4046,0,4046,0,34773389
1777450924,4046,0,4046,0,34773389
