timestamp,handshake_num,status,handshake_cycles
1776276030,1,success,4177701
1776276031,2,success,7426452
1776276032,3,success,5069856
1776276033,4,success,6453117
1776276034,5,success,6718074
1776276035,6,success,3189219
1776276036,7,success,7790904
1776276037,8,success,4705437
1776276038,9,success,3269607
1776276039,10,success,5126286
1776276040,11,success,6884394
1776276041,12,success,4929606
1776276042,13,success,6627159
1776276043,14,success,4916274
1776276044,15,success,6380946
1776276045,16,success,5625378
1776276046,17,success,34966008
1776276047,18,success,42548055
1776276048,19,success,97298718
1776276049,20,success,40157766
1776276050,21,success,45818124
1776276051,22,success,83486469
1776276052,23,success,41872710
1776276053,24,success,76815123
1776276054,25,success,39403584
1776276055,26,success,74215977
1776276056,27,success,63679968
1776276057,28,success,10262043
1776276058,29,success,10119912
1776276059,30,success,70941123
1776276060,31,success,65750982
1776276061,32,success,4861296
1776276062,33,success,6574821
1776276063,34,success,5169978
1776276064,35,success,6609966
1776276065,36,success,6603168
1776276066,37,success,4491069
1776276067,38,success,4356429
1776276068,39,success,5796978
1776276069,40,success,6380055
1776276070,41,success,7147866
1776276071,42,success,6964452
1776276072,43,success,7501098
1776276073,44,success,3692832
1776276074,45,success,6754869
1776276075,46,success,6025206
