timestamp,handshake_num,status,handshake_cycles
1776277529,1,success,5926866
1776277530,2,success,6333426
1776277531,3,success,6407082
1776277532,4,success,6868719
1776277533,5,success,5868654
1776277534,6,success,7442886
1776277535,7,success,6219279
1776277536,8,success,5570928
1776277537,9,success,5816151
1776277538,10,success,4890732
1776277539,11,success,4839087
1776277540,12,success,5072991
1776277541,13,success,4682271
1776277542,14,success,5906472
1776277543,15,success,5394114
1776277544,16,success,6470673
1776277545,17,success,75306990
1776277546,18,success,267918156
1776277547,19,success,264956307
1776277548,20,success,211978899
1776277550,21,success,244828881
1776277551,22,success,278754927
1776277552,23,success,257344956
1776277553,24,success,204134997
1776277554,25,success,211155021
1776277555,26,success,227604432
1776277556,27,success,227636079
1776277557,28,success,184828545
1776277558,29,success,332798169
1776277559,30,success,244483404
1776277560,31,success,212578575
1776277561,32,success,3496911
1776277562,33,success,4569180
1776277563,34,success,7742427
1776277564,35,success,6318444
1776277565,36,success,5136747
1776277566,37,success,6863571
1776277567,38,success,6608118
1776277568,39,success,5955213
1776277569,40,success,7200303
1776277570,41,success,5229642
1776277571,42,success,6208125
1776277572,43,success,6802620
1776277573,44,success,5917857
1776277574,45,success,6299535
1776277575,46,success,6254160
