timestamp,handshake_num,status,handshake_cycles
1776277989,1,success,3292674
1776277990,2,success,2684253
1776277991,3,success,3093024
1776277992,4,success,4145427
1776277993,5,success,2677224
1776277994,6,success,3820410
1776277995,7,success,2467476
1776277996,8,success,3992670
1776277997,9,success,2672802
1776277998,10,success,3866742
1776277999,11,success,3984222
1776278000,12,success,4129884
1776278001,13,success,4001481
1776278002,14,success,3844269
1776278003,15,success,2576904
1776278004,16,success,3050124
1776278005,17,success,33078639
1776278006,18,success,155902428
1776278007,19,success,159249915
1776278008,20,success,161823057
1776278009,21,success,155827386
1776278010,22,success,151253355
1776278011,23,success,164380986
1776278012,24,success,85468845
1776278014,25,success,419663442
1776278015,26,success,270093021
1776278016,27,success,143310948
1776278017,28,success,276932997
1776278018,29,success,185615694
1776278019,30,success,154392282
1776278020,31,success,155646810
1776278021,32,success,3632508
1776278022,33,success,4558818
1776278023,34,success,4703754
1776278024,35,success,4339698
1776278025,36,success,3321747
1776278026,37,success,3583899
1776278027,38,success,3577893
1776278028,39,success,3607197
1776278029,40,success,4109457
1776278030,41,success,2551395
1776278031,42,success,4371048
1776278032,43,success,3068274
1776278033,44,success,2680491
1776278034,45,success,4102725
1776278035,46,success,2589114
