timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1776277846,0,0,0,0,0
1776277847,0,0,0,0,0
1776277848,1,0,1,0,3837537
1776277849,2,0,2,0,3484602
1776277850,3,0,3,0,3757578
1776277851,4,0,4,0,3856569
1776277852,5,0,5,0,4153254
1776277853,6,0,6,0,4433940
1776277854,7,0,7,0,4457904
1776277855,8,0,8,0,4390394
1776277856,9,0,9,0,4507664
1776277857,10,0,10,0,4457141
1776277858,11,0,11,0,4404786
1776277859,12,0,12,0,4416997
1776277860,13,0,13,0,4492059
1776277861,14,0,14,0,4572979
1776277862,15,0,15,0,4502748
1776277863,16,0,16,0,4496530
1776277864,2341,26,2315,0,69019049
1776277865,4865,19,4846,0,80032399
1776277866,7416,146,7270,0,87337925
1776277867,9885,82,9803,0,100787023
1776277868,12564,350,12214,0,109366667
1776277869,15075,250,14825,0,133475719
1776277870,17510,139,17371,0,149966473
1776277871,19881,4,19877,0,143224004
1776277872,22576,200,22376,0,139537866
1776277873,25002,59,24943,0,142020530
1776277874,27725,307,27418,0,137734824
1776277875,30262,238,30024,0,137797785
1776277876,32738,52,32686,0,142496810
1776277877,35325,97,35229,0,142292885
1776277878,37939,163,37776,0,142477085
1776277879,38175,0,37925,250,142748409
1776277880,38176,0,37926,250,142744769
1776277881,38177,0,37927,250,142741180
1776277882,38178,0,37928,250,142737496
1776277883,38179,0,37929,250,142733830
1776277884,38180,0,37930,250,142730175
1776277885,38181,0,37931,250,142726504
1776277886,38182,0,37932,250,142722864
1776277887,38183,0,37933,250,142719218
1776277888,38184,0,37934,250,142715585
1776277889,38185,0,37935,250,142711931
1776277890,38186,0,37936,250,142708261
1776277891,38187,0,37937,250,142704669
1776277892,38188,0,37938,250,142701039
1776277893,38189,0,37939,250,142697366
1776277894,38190,0,37940,250,142693742
