timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1776277988,0,0,0,0,0
1776277989,0,0,0,0,0
1776277990,1,0,1,0,3298680
1776277991,2,0,2,0,3154321
1776277992,3,0,3,0,3125628
1776277993,4,0,4,0,3364168
1776277994,5,0,5,0,3260136
1776277995,6,0,6,0,3346073
1776277996,7,0,7,0,3261243
1776277997,8,0,8,0,3321912
1776277998,9,0,9,0,3271378
1776277999,10,0,10,0,3330277
1776278000,11,0,11,0,3361113
1776278001,12,0,12,0,3411223
1776278002,13,0,13,0,3418901
1776278003,14,0,14,0,3458673
1776278004,15,0,15,0,3421488
1776278005,16,0,16,0,3400439
1776278006,5137,161,4976,0,48675454
1776278007,10380,196,10184,0,52498356
1776278008,15539,165,15374,0,54320680
1776278009,20736,31,20705,0,49534432
1776278010,25978,12,25966,0,50616978
1776278011,31213,28,31185,0,52436255
1776278012,36407,37,36370,0,53518761
1776278013,41572,8,41564,0,55381601
1776278014,46611,58,46553,0,56770210
1776278015,51697,113,51584,0,56563336
1776278016,56642,24,56618,0,57608654
1776278017,61741,17,61724,0,56245789
1776278018,66767,3,66764,0,56094155
1776278019,71722,9,71713,0,55394994
1776278020,76713,6,76707,0,56819067
1776278021,77266,0,77017,249,56689025
1776278022,77267,0,77018,249,56688347
1776278023,77268,0,77019,249,56687673
1776278024,77269,0,77020,249,56686995
1776278025,77270,0,77021,249,56686300
1776278026,77271,0,77022,249,56685612
1776278027,77272,0,77023,249,56684921
1776278028,77273,0,77024,249,56684231
1776278029,77274,0,77025,249,56683544
1776278030,77275,0,77026,249,56682842
1776278031,77276,0,77027,249,56682150
1776278032,77277,0,77028,249,56681456
1776278033,77278,0,77029,249,56680758
1776278034,77279,0,77030,249,56680073
1776278035,77280,0,77031,249,56679373
1776278036,77280,0,77031,249,56679373
