timestamp,handshake_num,status,handshake_cycles
1777313028,1,success,97215050
1777313029,2,success,122436808
1777313030,3,success,125851672
1777313031,4,success,122649678
1777313032,5,success,124169540
1777313033,6,success,123334598
1777313034,7,success,124326634
1777313035,8,success,124468256
1777313036,9,success,123677034
1777313038,10,success,127718556
1777313039,11,success,121342542
1777313040,12,success,110379694
1777313041,13,success,125878512
1777313042,14,success,62860374
1777313043,15,success,91151084
1777313044,16,success,121381514
1777313045,17,success,574916150
1777313046,18,success,1579724956
1777313048,19,success,1560214116
1777313050,20,success,1703172108
1777313051,21,success,1593217832
1777313052,22,success,647473984
1777313054,23,success,1602404160
1777313055,24,success,1020493366
1777313057,25,success,1299747542
1777313058,26,success,1227783040
1777313059,27,success,642620656
1777313060,28,success,96307874
1777313061,29,success,92219348
1777313062,30,success,92295528
1777313063,31,success,92680962
1777313064,32,success,91266286
1777313065,33,success,89292476
1777313066,34,success,92973516
1777313067,35,success,89219270
1777313068,36,success,92210008
1777313070,37,success,91498060
1777313071,38,success,88619178
1777313072,39,success,90709906
1777313073,40,success,91483838
1777313074,41,success,89304564
