timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1777312096,0,0,0,0,0
1777312097,0,0,0,0,0
1777312098,0,0,0,0,0
1777312099,0,0,0,0,0
1777312100,1,0,1,0,48872922
1777312101,2,0,2,0,61281598
1777312102,3,0,3,0,65371507
1777312103,4,0,4,0,72646627
1777312104,5,0,5,0,77043304
1777312105,6,0,6,0,79775123
1777312106,7,0,7,0,82060634
1777312107,8,0,8,0,83784385
1777312108,9,0,9,0,84806932
1777312109,10,0,10,0,85821484
1777312110,11,0,11,0,86416811
1777312111,12,0,12,0,86894064
1777312112,13,1,12,0,86894064
1777312113,13,0,13,0,87294766
1777312114,14,0,14,0,86861744
1777312115,15,0,15,0,85494794
1777312116,279,200,79,0,379591985
1777312117,599,192,407,0,1510369324
1777312118,935,192,743,0,1612887736
1777312119,1272,193,1079,0,1681463600
1777312120,1630,201,1429,0,1684540235
1777312121,2011,200,1811,0,1653581170
1777312122,2329,201,2128,0,1674938394
1777312123,2656,200,2456,0,1696563085
1777312124,2965,194,2771,0,1722272796
1777312125,3287,200,3087,0,1736980036
1777312126,3618,198,3420,0,1748884504
1777312127,4080,196,3884,0,1714781391
1777312128,4421,201,4220,0,1699379093
1777312129,4749,200,4549,0,1704650562
1777312130,5077,198,4879,0,1714245708
1777312131,5269,0,5069,200,1717855907
1777312132,5270,0,5070,200,1717533412
1777312133,5271,0,5071,200,1717211841
1777312134,5272,0,5072,200,1716887945
1777312135,5273,0,5073,200,1716564008
1777312136,5274,0,5074,200,1716239810
1777312137,5275,1,5074,200,1716239810
1777312138,5275,0,5075,200,1715916159
1777312139,5276,0,5076,200,1715592585
1777312140,5277,0,5077,200,1715269093
1777312141,5278,0,5078,200,1714949607
1777312142,5279,0,5079,200,1714626875
1777312143,5280,0,5080,200,1714307829
1777312144,5281,0,5081,200,1713988714
1777312145,5282,0,5082,200,1713670070
1777312146,5283,0,5083,200,1713347337
1777312147,5283,0,5083,200,1713347337
1777312148,5283,0,5083,200,1713347337
1777312149,5283,0,5083,200,1713347337
1777312150,5283,0,5083,200,1713347337
1777312151,5283,0,5083,200,1713347337
1777312152,5283,0,5083,200,1713347337
